question,answer1,answer2,answer3,answer4
what is the time?,The current time is {}.,It's {} right now.,The time is {}.,
who are you?,I'm a friendly chatbot!,,,
what is python?,Python is a popular programming language.,,,
where is paris?,Paris is the capital of France.,,,
what is 2 plus 2?,2 plus 2 equals 4.,,,
what is the capital of japan?,The capital of Japan is Tokyo.,,,
who invented the telephone?,Alexander Graham Bell invented the telephone.,,,
what is the largest planet?,Jupiter is the largest planet.,,,
what day is it today?,Today is {}.,,,
when does semester start?,The semester starts in September.,,,
where is lecture hall?,The lecture hall is in the main building.,,,
what is weather,good,,,
